Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_background,Val_Acc_vehicle
1,0.6410,0.5006,0.7244,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
2,0.6405,0.5002,0.7145,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
3,0.6403,0.5003,0.7205,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
4,0.6402,0.5006,0.7116,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
5,0.6403,0.5004,0.7184,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
6,0.6404,0.5000,0.7198,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
7,0.6403,0.5001,0.7163,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
8,0.6403,0.5001,0.7170,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
9,0.6410,0.4988,0.7212,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
10,0.6403,0.5000,0.7198,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
11,0.6406,0.4996,0.7177,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
12,0.6410,0.4988,0.7227,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
13,0.6402,0.5002,0.7173,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
14,0.6396,0.5011,0.7187,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
15,0.6398,0.5008,0.7198,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
