epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,2.7707518081060436,2.018268958314673,0.5968,0.4913,0.1854,0.3109
1,1.773606864031422,1.7119745021258599,0.6065,0.5,0.1566,0.2232
2,1.7178254790568466,1.6883592523021616,0.846,0.7426,0.2478,0.3855
3,1.7145993340243564,1.6982365248007176,0.4813,0.4389,0.2805,0.4268
4,1.713804544872074,1.6913644008306197,0.4607,0.4296,0.2482,0.3388
5,1.7136037801726582,1.7144388058484892,0.8032,0.6954,0.2792,0.2961
6,1.7134746029331354,1.7132537617827908,0.4388,0.4185,0.2699,0.2971
7,1.7131446346141506,1.69889176149905,0.7998,0.6916,0.2686,0.4397
8,1.714319323808953,1.7075792705857908,0.4455,0.422,0.2681,0.3317
9,1.71181778075022,1.6931215297608149,0.8026,0.6947,0.2656,0.3267
10,1.7144301874500714,1.6904693367161276,0.8035,0.6957,0.2674,0.4386
11,1.7150803534893329,1.706192642579347,0.4394,0.4189,0.2632,0.3223
12,1.7130533284262608,1.7319825149717785,0.4487,0.4236,0.255,0.2904
13,1.7138836325355693,1.7249581519659463,0.8036,0.6958,0.2266,0.349
14,1.7122609260264767,1.7094058856303558,0.4525,0.4254,0.265,0.3261
15,1.7127091448272815,1.6935559934351867,0.8041,0.6963,0.2402,0.3485
16,1.7144650600173257,1.7057361669870683,0.4454,0.4219,0.2336,0.347
17,1.7138301138387342,1.6895259825182167,0.7993,0.691,0.2472,0.4389
18,1.7122378581733795,1.7121200773107026,0.4512,0.4249,0.2665,0.2982
19,1.7134194635033038,1.6979634013526883,0.8001,0.692,0.2301,0.3372
20,1.7120724018110614,1.7123453168125895,0.4366,0.4175,0.2609,0.3194
21,1.7127963566894167,1.7248720699574525,0.8053,0.6977,0.2629,0.296
22,1.7123542065825759,1.7163694302241008,0.8032,0.6954,0.2596,0.2974
23,1.7135418118757495,1.7127721366428195,0.4421,0.4202,0.2657,0.3262
24,1.7141334103625356,1.7009922369217976,0.4451,0.4218,0.2643,0.3242
25,1.7132966214675083,1.688357754703208,0.7988,0.6905,0.2603,0.4382
26,1.712973668957441,1.7033501486757616,0.4489,0.4235,0.2639,0.3245
27,1.7116600042610077,1.6950971089400255,0.7998,0.6916,0.2336,0.3449
